Joint,OutputCase,CaseType,StepType,StepNum,U1,U2,U3,R1,R2,R3
,,,,,ft,ft,ft,Radians,Radians,Radians
5,MODAL,LinModal,Mode,1,3.10E-17,-0.989808,-3.59E-18,0.565604,-5.94E-17,5.64E-14
5,MODAL,LinModal,Mode,2,2.36E-18,-0.126878,-3.33E-18,-0.876971,-3.38E-18,-0.263491
5,MODAL,LinModal,Mode,3,2.13E-17,0.861653,2.51E-19,-0.293146,-6.09E-18,-0.198206
5,MODAL,LinModal,Mode,4,0.565782,-4.22E-17,-0.683646,1.12E-16,0.094012,-8.25E-17
5,MODAL,LinModal,Mode,5,2.48E-16,0.696908,2.12E-16,0.465861,-7.39E-17,0.122678
5,MODAL,LinModal,Mode,6,-0.531641,4.20E-15,-0.553607,-2.10E-15,0.120914,-1.74E-15
5,MODAL,LinModal,Mode,7,1.19E-14,0.372715,4.10E-15,-1.52919,-3.40E-15,0.545689
5,MODAL,LinModal,Mode,8,1.01E-12,-0.944453,-2.00E-12,0.885144,4.16E-13,0.287616
5,MODAL,LinModal,Mode,9,3.98E-11,1.120156,-6.36E-11,-1.615939,7.95E-12,0.443873
5,MODAL,LinModal,Mode,10,-0.057767,-5.59E-10,-1.133303,6.75E-11,-0.079235,5.00E-10
5,MODAL,LinModal,Mode,11,5.49E-10,-0.544199,-2.40E-10,1.337601,-2.96E-10,0.725429
5,MODAL,LinModal,Mode,12,2.16E-08,0.889292,-8.21E-08,-0.677486,2.20E-08,-0.576312
5,LC_2,LinStatic,,,0.007553,0,-0.022893,0,0.003519,0
5,LC_3,LinStatic,,,0.007921,0,-0.024104,0,0.003945,0
5,LC_4,LinStatic,,,0.007457,0,-0.022667,0,0.003912,0
5,LC_5,LinStatic,,,0.007771,0,-0.023503,0,0.004207,0
5,LC_6,LinStatic,,,0.007351,0,-0.022069,0,0.003931,0
5,LC_2_1450,LinStatic,,,0,0,0,0,0,0
5,LC_1_1450,LinStatic,,,0,0,0,0,0,0
5,LC_3_1450,LinStatic,,,0,0,0,0,0,0
5,LC_4_1450,LinStatic,,,0,0,0,0,0,0
5,LC_5_1450,LinStatic,,,0,0,0,0,0,0
5,LC_6_1450,LinStatic,,,0,0,0,0,0,0
5,LC_7_1450,LinStatic,,,0.004773,0,-0.014292,0,0.002466,0
5,LC_8_1450,LinStatic,,,0.003139,0,-0.009128,0,0.001673,0
5,LC_9_1450,LinStatic,,,0.003724,0,-0.010876,0,0.001983,0
5,LC_10_1450,LinStatic,,,0.003443,0,-0.010031,0,0.001834,0
5,LC_11_1450,LinStatic,,,0.004205,0,-0.012361,0,0.002242,0
5,LC_12_1450,LinStatic,,,0.003978,0,-0.011655,0,0.00212,0
5,LC2_2_1150,LinStatic,,,0.003198,0,-0.009369,0,0.0017,0
5,LC2_3_1150,LinStatic,,,0.003377,0,-0.009929,0,0.001797,0
5,LC2_4_1150,LinStatic,,,0.002773,0,-0.008081,0,0.001474,0
5,LC2_5_1150,LinStatic,,,0.002996,0,-0.008751,0,0.001592,0
5,LC2_6_1150,LinStatic,,,0.002532,0,-0.007364,0,0.001346,0
5,LC2_7_1150,LinStatic,,,0.002275,0,-0.006606,0,0.001209,0
5,LC2_8_1150,LinStatic,,,0.003865,0,-0.011788,0,0.002069,0
5,LC2_9_1150,LinStatic,,,0.00383,0,-0.011825,0,0.002093,0
5,LC2_10_1150,LinStatic,,,0.003758,0,-0.011694,0,0.001953,0
5,LC2_11_1150,LinStatic,,,0.003646,0,-0.011368,0,0.001722,0
5,LC2_12_1150,LinStatic,,,0.00309,0,-0.009233,0,0.000845,0
5,LC_7,LinStatic,,,0.007048,0,-0.020898,0,0.003675,0
5,LC_8,LinStatic,,,0.007004,0,-0.020915,0,0.003742,0
5,LC_9,LinStatic,,,0.007554,0,-0.022701,0,0.004076,0
5,LC_10,LinStatic,,,0.0072,0,-0.021725,0,0.003787,0
5,LC_11,LinStatic,,,0.007851,0,-0.023729,0,0.003964,0
5,LC_12,LinStatic,,,0.007068,0,-0.020888,0,0.002964,0
5,Dead_Patter,n   LinStati,c,,0.000207,0,-0.000606,0,0.000092,0
5,Dead_Case,LinStatic,,,0.000207,0,-0.000606,0,0.000092,0
5,LC_2_Pre,LinStatic,,,0.002052,0,-0.00617,0,0.00096,0
5,LC_3_Pre,LinStatic,,,0.002138,0,-0.006451,0,0.001053,0
5,LC_4_Pre,LinStatic,,,0.002009,0,-0.006054,0,0.001029,0
5,LC_5_Pre,LinStatic,,,0.002086,0,-0.006263,0,0.001097,0
5,LC_6_Pre,LinStatic,,,0.001974,0,-0.005892,0,0.001026,0
5,LC_7_Pre,LinStatic,,,0.001898,0,-0.005608,0,0.000966,0
